timestamp,dx_pixels_per_sec,dy_pixels_per_sec,speed_pixels_per_sec
1764762527.3954048,-28.437275,13.255799,31.375067
1764762528.0857067,-8.087755,-56.422302,56.999016
1764762528.018803,3.4487145,11.237703,11.754982
1764762528.78839,-15.394179,-18.101828,23.76251
1764762529.018803,3.4487145,11.237703,11.754982
1764762529.2567034,12.374243,22.993425,26.111673
1764762529.4898217,8.466431,-2.5530303,8.842986
1764762529.7253687,0.41473663,9.367769,9.3769455
1764762529.9587245,2.8067138,-1.453328,3.1606653
1764762530.1957483,6.7852287,-3.7358434,7.7456994
1764762530.6589942,1.7851529,8.495384,8.680917
1764762531.3576353,-25.49361,-23.243042,34.49874
1764762531.5865462,-2.915936,44.20734,44.303406
1764762532.2809372,2.096616,-18.340193,18.459644
1764762532.5163624,-28.325636,-20.580706,35.012955
1764762532.7438023,4.656339,18.812199,19.379894
1764762532.9771044,10.551567,10.141086,14.634793
1764762533.436461,1.5983357,-16.440079,16.517593
1764762533.6715963,-24.972212,-38.95555,46.272522
1764762533.9011638,-74.21513,-53.99905,91.78117
1764762534.1330447,-14.459458,-12.272459,18.965475
1764762534.3729334,-39.787407,8.469223,40.67881
1764762534.599701,73.11832,57.733017,93.16324
1764762534.8314645,-87.39691,-26.354239,91.28398
1764762535.0589793,-3.1507006,4.4035506,5.4146256
1764762535.2923956,-3.3730912,2.0710857,3.958174
1764762535.5270426,12.62848,24.728731,27.766682
1764762536.2225418,18.189186,-0.7197524,18.20342
1764762536.448713,-11.419363,-1.3105078,11.494316
1764762536.6735773,-68.93451,-40.280388,79.84032
1764762536.8999934,31.903881,-39.062885,50.43577
1764762537.128906,6.0608983,-1.191957,6.176994
1764762537.3650403,-16.770357,-93.697365,95.18635
1764762537.594042,-7.5535707,-8.348115,11.258217
1764762537.8286366,-81.71858,-49.383625,95.48125
1764762538.055594,-6.303034,-20.117718,21.082003
1764762538.2864523,-21.249863,-30.970663,37.5598
1764762538.7405508,-93.11315,11.43048,93.812126
1764762538.968504,13.173356,39.470085,41.610394
1764762539.4260895,-41.704666,26.75826,49.55082
1764762540.1137726,-4.8506217,-13.981648,14.799156
1764762540.3471637,6.425935,13.80143,15.224063
1764762540.8065166,2.0055776,-12.992353,13.146238
1764762541.0351942,15.7821455,11.220704,19.364408
1764762541.2728493,26.632755,11.585449,29.043524
1764762541.509582,-12.185883,4.766868,13.085059
1764762542.2343652,2.677453,1.3095714,2.9805589
1764762542.8683732,0.92613745,-1.476226,1.7426915
1764762543.529877,2.8240862,5.3435802,6.043948
1764762544.1192436,0.011164703,-9.147665,9.147672
1764762544.6340973,-1.3606026,-8.288538,8.39947
1764762545.2666895,-4.3558965,0.3103004,4.3669353
1764762545.8989482,-4.6789055,3.4927843,5.8388095
1764762546.5345833,-3.6320214,-0.5003398,3.6663222
1764762547.0414672,-0.57454747,10.011738,10.02821
1764762547.6394079,-1.1124296,3.4833348,3.6566544
1764762548.2801766,7.497685,4.472078,8.730106
1764762548.9137022,7.012705,3.503967,7.839376
1764762549.5483754,-30.050467,12.773754,32.652706
1764762549.9947402,1.4513198,2.9022155,3.2448704
1764762550.6362514,0.13450374,-6.297212,6.2986484
